,customer,state,gender,education,customer_lifetime_value,income,monthly_premium_auto,number_of_open_complaints,policy_type,vehicle_class,total_claim_amount
146,AZ82578,CA,F,College,792882.93,0.0,72.0,0,Corporate Auto,Four-Door Car,345.6
147,XC67861,AZ,F,Bachelor,501175.16,28859.0,67.0,3,Corporate Auto,Two-Door Car,321.6
148,YC43143,AZ,F,High School or Below,798825.83,77330.0,99.0,0,Personal Auto,Four-Door Car,99.257608
149,EK59571,OR,M,College,388545.64,0.0,105.0,0,Corporate Auto,Four-Door Car,504.0
150,PA38372,WA,F,High School or Below,935773.78,33060.0,117.0,0,Personal Auto,Four-Door Car,56.731578
151,RO18530,WA,M,Master,254068.98,42557.0,65.0,0,Personal Auto,Four-Door Car,57.562324
152,PD27940,AZ,M,High School or Below,488516.25,26372.0,126.0,0,Personal Auto,SUV,604.8
153,BS77946,AZ,F,Bachelor,975330.71,17514.0,127.0,0,Personal Auto,SUV,8.312729
154,YM50253,CA,F,Bachelor,294615.37,89270.0,74.0,0,Personal Auto,Four-Door Car,316.599228
155,NR15332,CA,M,High School or Below,258111.09,29757.0,65.0,0,Personal Auto,Four-Door Car,312.0
156,RC62865,OR,M,College,351738.58,51814.0,92.0,0,Personal Auto,Four-Door Car,56.300724
157,CC15295,OR,F,Bachelor,974335.01,24028.0,82.0,0,Personal Auto,Four-Door Car,393.6
158,KA61892,AZ,M,College,387364.7,28142.0,105.0,0,Personal Auto,Luxury,701.708239
159,OS94884,AZ,F,Bachelor,764928.2,52705.0,64.0,1,Personal Auto,Two-Door Car,128.705563
160,ND87334,CA,M,High School or Below,228759.69,0.0,63.0,0,Corporate Auto,Two-Door Car,679.368378
161,OY51402,WA,F,High School or Below,825576.39,54040.0,103.0,0,Personal Auto,SUV,59.987126
162,YL74911,CA,F,College,871492.21,0.0,118.0,0,Personal Auto,SUV,566.4
163,GK92563,WA,F,Doctor,681923.12,22492.0,85.0,0,Personal Auto,Two-Door Car,61.654262
164,HL53154,CA,M,Bachelor,741619.73,0.0,77.0,2,Personal Auto,Four-Door Car,554.4
165,RI78966,OR,M,Master,777115.9,21876.0,68.0,0,Personal Auto,Four-Door Car,465.41477
166,IC13702,CA,F,Bachelor,696834.19,0.0,69.0,1,Personal Auto,Four-Door Car,496.8
167,BE10809,CA,F,High School or Below,425028.26,0.0,61.0,1,Personal Auto,Four-Door Car,292.8
168,HT87217,OR,F,High School or Below,1977656.65,70699.0,82.0,0,Personal Auto,Four-Door Car,256.813837
169,TH95618,CA,F,High School or Below,2134346.6,0.0,74.0,1,Personal Auto,Four-Door Car,355.2
170,TS19868,CA,M,College,241313.97,27501.0,63.0,0,Personal Auto,Four-Door Car,542.319401
171,LP45550,OR,F,Doctor,1536384.72,15897.0,101.0,0,Personal Auto,Four-Door Car,303.148399
172,QR87004,NV,F,College,845696.19,25141.0,73.0,1,Personal Auto,Four-Door Car,25.438063
173,OE75747,NV,F,College,218964.25,0.0,61.0,3,Personal Auto,Four-Door Car,292.8
174,DX91392,CA,M,High School or Below,578018.22,51066.0,74.0,0,Personal Auto,Four-Door Car,787.993313
175,AB72731,CA,F,Bachelor,463998.16,28358.0,117.0,0,Personal Auto,Luxury,84.024413
176,GX84338,WA,F,Doctor,382443.13,62530.0,95.0,0,Personal Auto,Four-Door Car,61.693771
177,IS12901,AZ,F,Bachelor,596811.89,90972.0,74.0,0,Personal Auto,Two-Door Car,232.926145
178,BN90616,WA,F,Bachelor,859033.5,63110.0,72.0,0,Personal Auto,Four-Door Car,68.179721
179,HH90090,CA,F,Bachelor,407663.47,29549.0,104.0,0,Personal Auto,Luxury,710.433775
180,IU25463,CA,F,Bachelor,1225260.18,0.0,115.0,1,Personal Auto,Four-Door Car,552.0
181,KC11055,NV,F,Bachelor,1693627.15,39411.0,217.0,2,Personal Auto,Luxury,1122.658899
182,PD33979,OR,M,High School or Below,489243.55,21709.0,62.0,0,Personal Auto,Four-Door Car,408.374746
183,NK71023,NV,M,Bachelor,994230.48,67890.0,85.0,0,Personal Auto,Four-Door Car,408.0
184,AB13432,CA,M,Bachelor,373583.81,0.0,110.0,0,Personal Auto,SUV,792.0
185,OZ97704,CA,F,High School or Below,1311752.22,84311.0,111.0,4,Personal Auto,SUV,532.8
186,UF46533,CA,F,College,457452.41,99316.0,114.0,0,Corporate Auto,SUV,754.358929
187,XP47431,AZ,F,Bachelor,547006.06,54507.0,138.0,0,Personal Auto,SUV,702.990032
188,GK73582,CA,F,Bachelor,297884.6,64586.0,76.0,0,Personal Auto,Four-Door Car,206.837111
189,RV98763,OR,M,College,641096.75,61709.0,82.0,2,Personal Auto,Four-Door Car,275.395894
190,II62831,CA,M,Master,447902.31,94656.0,111.0,1,Special Auto,SUV,459.738128
191,XK33449,CA,F,High School or Below,238373.19,0.0,69.0,0,Special Auto,Two-Door Car,496.8
192,TR85083,CA,M,Bachelor,276449.37,61085.0,70.0,1,Personal Auto,Two-Door Car,336.0
193,EO95328,OR,F,Bachelor,792010.54,89284.0,67.0,3,Personal Auto,Two-Door Car,321.6
194,EN21086,AZ,F,High School or Below,688909.8,0.0,63.0,0,Personal Auto,Four-Door Car,302.4
195,YL83902,WA,F,Bachelor,327419.46,31686.0,81.0,0,Personal Auto,Four-Door Car,430.994107
196,AZ62651,OR,M,High School or Below,995170.77,56855.0,255.0,0,Corporate Auto,Luxury,1836.0
197,ZW25874,OR,M,Bachelor,252155.57,53703.0,67.0,2,Special Auto,Four-Door Car,67.632476
198,EH41854,WA,F,High School or Below,2370611.34,0.0,96.0,1,Personal Auto,Two-Door Car,844.481918
199,MW70227,CA,M,College,604702.52,20396.0,76.0,1,Personal Auto,Four-Door Car,364.8
200,SL22297,CA,F,Master,1114030.25,27679.0,150.0,0,Personal Auto,SUV,722.486994
201,RV14138,NV,F,Bachelor,433406.41,23904.0,123.0,3,Personal Auto,SUV,590.4
202,UO62808,AZ,F,High School or Below,279974.79,65351.0,69.0,0,Corporate Auto,Four-Door Car,481.027516
203,ZX64745,CA,M,College,792313.66,0.0,113.0,0,Personal Auto,SUV,1124.427734
204,FL34139,CA,M,High School or Below,368811.09,0.0,63.0,3,Personal Auto,Four-Door Car,669.682001
205,TS11219,CA,M,College,1206745.6,0.0,116.0,0,Personal Auto,SUV,1284.093173
206,XX12304,CA,F,College,292497.67,64459.0,72.0,0,Personal Auto,Four-Door Car,240.259479
207,SD64087,CA,M,College,1501409.27,32961.0,190.0,0,Corporate Auto,SUV,912.0
208,OY38576,OR,F,High School or Below,927723.38,71416.0,116.0,0,Corporate Auto,SUV,556.8
209,BG76355,WA,F,Bachelor,627412.39,68964.0,78.0,0,Personal Auto,Four-Door Car,115.086827
210,IP66913,Cali,M,High School or Below,388664.74,78108.0,98.0,0,Personal Auto,Two-Door Car,470.4
211,LE95702,Cali,M,College,438627.76,10621.0,67.0,0,Special Auto,Four-Door Car,321.6
212,KX54357,WA,M,College,1136526.77,84910.0,95.0,0,Corporate Auto,Two-Door Car,383.167471
213,EZ78112,Cali,F,High School or Below,561096.43,77493.0,70.0,0,Special Auto,Four-Door Car,307.963291
214,XN16891,AZ,M,College,291289.2,81097.0,74.0,0,Personal Auto,Four-Door Car,355.2
215,XK31350,OR,F,College,691572.99,96610.0,85.0,0,Corporate Auto,Four-Door Car,520.364752
216,CC30924,OR,M,College,626266.33,30110.0,159.0,0,Corporate Auto,Luxury,466.436375
217,IT78748,OR,F,High School or Below,650339.7,22081.0,84.0,0,Special Auto,Two-Door Car,451.670309
218,KY33386,WA,F,High School or Below,800739.94,0.0,112.0,0,Personal Auto,Luxury,537.6
219,CO44221,Cali,M,College,292991.65,98473.0,72.0,0,Personal Auto,Four-Door Car,345.6
220,LK60013,OR,F,Bachelor,596955.3,97431.0,74.0,0,Personal Auto,Four-Door Car,355.2
221,DE21533,Cali,M,Bachelor,547315.99,93870.0,69.0,0,Personal Auto,Four-Door Car,331.2
222,YS94121,NV,M,High School or Below,564539.67,50366.0,72.0,0,Personal Auto,Four-Door Car,428.734656
223,UK68427,WA,M,High School or Below,636926.24,34498.0,83.0,0,Personal Auto,Two-Door Car,398.4
224,TE49565,OR,F,College,1183376.73,16552.0,103.0,0,Personal Auto,SUV,494.4
225,RA88421,OR,F,College,612110.79,26787.0,77.0,0,Personal Auto,Four-Door Car,369.6
226,KQ51983,NV,M,College,515936.97,0.0,74.0,0,Personal Auto,Two-Door Car,831.752839
227,CD88896,NV,F,High School or Below,251459.2,43860.0,65.0,0,Corporate Auto,Four-Door Car,156.124914
228,YV22553,AZ,M,High School or Below,866861.13,21474.0,114.0,2,Corporate Auto,SUV,373.428187
229,WU14435,Cali,M,Bachelor,496096.54,18174.0,66.0,0,Corporate Auto,Four-Door Car,395.934815
230,XV84099,AZ,F,Bachelor,550413.9,0.0,73.0,0,Corporate Auto,Four-Door Car,350.4
231,RI24911,AZ,M,College,750745.54,60920.0,64.0,0,Personal Auto,Two-Door Car,231.201886
232,KO26461,AZ,M,High School or Below,3226985.14,41520.0,90.0,0,Personal Auto,Four-Door Car,289.904105
233,HI14283,OR,F,Bachelor,565703.16,0.0,152.0,0,Personal Auto,SUV,729.6
234,PT50227,AZ,M,High School or Below,506175.79,0.0,68.0,0,Personal Auto,Two-Door Car,326.4
235,BH36570,Cali,M,Bachelor,591278.38,72208.0,73.0,0,Personal Auto,Two-Door Car,350.4
236,TX17484,Cali,F,Bachelor,1518227.98,53863.0,63.0,0,Personal Auto,Four-Door Car,105.765111
237,CT41158,WA,M,College,1074703.09,66446.0,136.0,0,Corporate Auto,SUV,639.464548
238,AO87348,WA,M,College,205062.35,0.0,61.0,0,Personal Auto,Four-Door Car,292.8
239,DE55857,WA,F,Bachelor,246544.49,64997.0,63.0,1,Personal Auto,Four-Door Car,383.442328
240,LF66923,NV,F,High School or Below,534312.13,64460.0,66.0,0,Corporate Auto,Two-Door Car,316.8
241,CN24514,AZ,F,College,811982.91,46618.0,67.0,0,Personal Auto,Four-Door Car,99.085943
242,UW32074,OR,F,College,460526.52,0.0,64.0,0,Corporate Auto,Four-Door Car,307.2
243,HP36979,Cali,M,College,640878.56,49988.0,84.0,5,Personal Auto,Two-Door Car,566.935022
244,PP40919,Cali,F,College,237653.35,0.0,91.0,5,Personal Auto,Two-Door Car,436.8
245,RO73268,Cali,M,Bachelor,321107.0,16269.0,86.0,0,Corporate Auto,Two-Door Car,412.8
246,HO61691,AZ,F,Bachelor,509452.23,72006.0,64.0,0,Personal Auto,Four-Door Car,307.2
247,BS13062,AZ,F,High School or Below,2575527.82,0.0,81.0,2,Personal Auto,Four-Door Car,388.8
248,FO35655,OR,M,Bachelor,867222.97,0.0,245.0,0,Corporate Auto,Luxury,2345.413441
249,HR10526,Cali,M,Master,804473.07,44320.0,67.0,0,Personal Auto,Four-Door Car,321.6
250,IA63417,AZ,F,High School or Below,400151.91,19782.0,108.0,0,Personal Auto,Two-Door Car,773.470977
251,BH35016,NV,F,Bachelor,1670611.7,63933.0,70.0,0,Personal Auto,Two-Door Car,424.883448
252,PK52952,AZ,M,Doctor,854441.11,28224.0,109.0,0,Personal Auto,SUV,523.2
253,OD76309,WA,F,College,780531.29,21073.0,106.0,1,Personal Auto,SUV,508.8
254,IL28481,OR,M,Bachelor,611275.69,63243.0,77.0,0,Personal Auto,Four-Door Car,364.240307
255,GY55092,NV,M,High School or Below,477294.38,20993.0,133.0,0,Personal Auto,SUV,638.4
256,UF33451,OR,F,Bachelor,1097909.56,94827.0,135.0,0,Personal Auto,SUV,354.729129
257,CF15558,Cali,F,Master,500426.38,39161.0,63.0,1,Personal Auto,Two-Door Car,283.995953
258,JM62924,WA,M,Bachelor,1322304.38,37534.0,84.0,2,Personal Auto,Four-Door Car,403.2
259,EM66435,OR,F,Bachelor,262331.54,80210.0,65.0,0,Corporate Auto,Four-Door Car,20.543176
260,QX45933,Cali,M,Bachelor,1784019.56,0.0,62.0,0,Personal Auto,Four-Door Car,385.115437
261,JI71369,Cali,F,College,510611.18,30110.0,64.0,0,Personal Auto,Four-Door Car,140.165035
262,JU93290,AZ,F,College,1793060.45,21708.0,68.0,0,Personal Auto,Four-Door Car,326.4
263,GU66096,AZ,M,High School or Below,545734.26,94731.0,67.0,0,Personal Auto,Four-Door Car,321.6
264,UC33108,Cali,M,Bachelor,656364.41,32375.0,83.0,0,Personal Auto,Four-Door Car,398.4
265,LW93867,OR,M,College,481252.52,16531.0,63.0,0,Corporate Auto,Four-Door Car,102.879769
266,OU78470,AZ,F,Master,2932804.19,32006.0,94.0,0,Corporate Auto,Four-Door Car,56.868289
267,XW90265,AZ,F,Bachelor,577352.07,81676.0,72.0,0,Personal Auto,Two-Door Car,463.158502
268,HS67749,Cali,M,College,684711.89,71038.0,86.0,0,Corporate Auto,Four-Door Car,205.444066
269,VZ51506,AZ,F,High School or Below,359531.29,0.0,103.0,0,Corporate Auto,Luxury,741.6
